30.916	32.79	35.427
42.783	43.13	48.196
51.041	55.135	51.284
57.009	62.04	55.69
61.346	62.804	57.772
64.99	63.046	62.006
67.002	66.239	65.545
66.378	65.926	69.257
68.182	68.98	68.806
67.21	71.166	70.021
70.645	72.623	71.339
70.264	72.658	71.131
73.491	73.005	72.241
74.532	74.427	70.541
75.711	75.989	76.058
76.128	76.232	75.607
75.468	76.648	77.689
75.677	78.244	74.358
77.967	77.585	77.446
77.932	79.112	78.175
78.869	76.128	75.85
79.493	78.105	74.844
79.042	79.91	77.62
78.036	77.169	78.314
79.979	79.598	79.008
79.736	80.604	78.695
78.973	75.85	80.049
80.257	78.938	78.869
79.84	80.257	80.153
80.534	80.291	81.402
81.402	79.702	80.569
80.222	81.471	80.396
80.291	79.563	79.598
80.847	80.847	80.534
80.708	78.244	79.389
80.534	81.749	80.569
82.026	81.298	80.604
80.916	79.563	80.222
80.5	79.806	81.02
81.367	80.847	81.645
82.373	79.979	81.02
82.061	80.396	80.257
82.443	80.5	81.194
81.055	81.818	82.096
81.02	81.437	79.459
80.361	81.332	81.575
80.5	81.332	81.714
82.096	81.992	82.304
81.437	82.304	81.749
82.2	80.743	80.951
82.686	80.638	81.783
80.951	82.13	82.269
82.547	82.235	80.743
80.847	81.575	81.679
82.443	81.332	81.61
81.853	81.61	82.408
82.339	81.714	80.881
82.165	82.13	82.477
83.518	81.992	83.241
82.477	83.38	82.651
81.298	82.235	82.686
82.477	81.957	81.714
82.686	81.818	82.165
82.235	83.206	81.818
82.998	83.38	83.31
83.935	82.582	82.79
82.443	82.998	81.992
82.477	83.345	82.373
82.651	82.339	82.651
83.102	81.888	82.339
81.853	82.165	81.541
83.067	83.033	82.963
82.79	82.477	81.957
83.518	82.582	82.235
82.339	82.859	82.304
81.61	82.998	82.512
82.859	82.408	81.818
83.761	82.061	81.853
82.998	82.79	82.79
83.588	82.269	81.888
83.484	83.31	82.339
83.935	83.206	83.206
83.31	82.755	82.998
82.859	83.38	82.026
83.9	83.38	82.755
83.38	83.067	81.645
83.206	83.206	82.824
83.553	83.241	82.963
84.039	83.276	82.686
84.178	83.831	82.686
83.484	82.894	82.859
83.9	83.38	82.79
83.449	83.241	82.547
84.143	82.998	82.512
84.49	84.143	82.998
83.796	83.067	82.477
83.831	83.796	83.727
84.143	82.929	82.651
84.178	82.512	82.477
83.414	82.894	83.102
83.449	83.276	83.657
83.622	83.31	82.616
83.067	84.004	83.345
83.206	83.727	83.241
84.004	83.518	83.171
83.276	83.622	82.859
83.796	82.512	83.518
83.796	84.351	83.033
84.247	83.761	83.865
84.074	83.449	83.241
83.38	84.282	82.339
84.143	84.212	82.755
83.761	84.455	83.449
83.622	84.004	83.657
83.588	83.9	83.449
83.969	84.143	83.657
84.212	83.553	83.345
83.935	83.622	83.484
83.692	83.9	82.998
83.622	84.212	83.31
83.102	83.276	83.414
84.178	84.212	83.276
84.386	83.692	83.865
83.414	84.143	82.998
84.178	84.074	83.206
84.074	83.865	83.761
84.143	83.969	82.963
84.629	84.039	83.865
84.143	84.178	83.588
84.698	83.553	83.518
84.455	83.9	83.484
84.039	84.143	83.414
84.976	83.553	83.622
83.969	84.594	83.241
84.108	84.108	83.761
83.484	83.969	83.102
84.698	83.727	83.761
84.629	83.935	83.622
84.421	84.559	83.9
84.663	83.761	82.998
84.594	83.9	82.998
84.629	84.594	83.935
84.559	84.004	83.796
84.733	83.969	83.38
84.872	84.004	83.276
84.178	84.455	83.067
84.976	83.865	83.9
84.629	83.657	83.657
84.525	83.553	83.553
84.247	84.108	83.414
84.386	83.969	83.414
84.282	83.38	83.484
84.594	83.796	82.824
84.837	83.761	83.553
84.872	84.212	83.449
84.698	83.9	84.108
84.837	84.143	83.449
84.802	84.074	83.761
85.253	84.455	83.831
84.941	83.588	84.178
84.976	84.212	83.484
84.768	84.49	83.241
84.421	83.865	83.935
85.219	84.49	83.865
84.872	84.282	83.622
84.733	84.108	82.963
84.802	84.594	83.171
85.149	84.074	83.31
84.837	84.386	83.865
84.906	84.629	84.143
84.976	84.559	83.38
84.768	84.455	83.865
84.733	84.247	83.657
84.282	84.629	82.929
84.906	84.559	83.276
84.663	84.733	83.935
84.663	84.386	83.865
84.768	84.212	83.276
84.837	84.559	83.588
84.802	84.282	83.622
84.594	84.108	83.484
84.629	84.421	83.761
85.08	84.386	83.692
85.323	84.178	83.865
84.802	84.212	83.761
84.768	84.768	84.039
84.733	84.282	83.657
84.455	84.525	83.588
84.733	84.386	83.796
84.906	84.559	83.657
84.941	84.421	83.831
84.768	84.386	83.969
84.629	84.108	83.9
84.941	83.865	83.9
84.837	84.49	83.9
85.08	84.421	84.143
85.253	84.004	84.039
85.323	84.559	83.692
85.149	84.351	84.316
85.253	84.698	83.518
